"id","action_time","object_id","object_repr","action_flag","change_message","content_type_id","user_id"
"1","2024-3-6 08:22:01.-1f+00","44","AddProfits object (44)","3","","10","1"
"2","2024-3-6 08:25:58.-1f+00","45","AddProfits object (45)","1","[{""added"": {}}]","10","1"
"3","2024-3-6 08:27:00.-1f+00","46","AddProfits object (46)","1","[{""added"": {}}]","10","1"
"4","2024-3-6 08:28:04.-1f+00","47","AddProfits object (47)","1","[{""added"": {}}]","10","1"
"5","2024-3-6 08:29:51.-1f+00","48","AddProfits object (48)","3","","10","1"
"6","2024-3-6 08:32:21.-1f+00","49","AddProfits object (49)","3","","10","1"
"7","2024-3-6 08:45:56.-1f+00","50","AddProfits object (50)","1","[{""added"": {}}]","10","1"
"8","2024-3-6 15:38:24.-1f+00","6","Lids object (6)","1","[{""added"": {}}]","11","1"
"9","2024-3-6 15:39:37.-1f+00","7","Lids object (7)","1","[{""added"": {}}]","11","1"
"10","2024-3-6 15:40:41.-1f+00","8","Lids object (8)","1","[{""added"": {}}]","11","1"
"11","2024-3-6 15:41:31.-1f+00","9","Lids object (9)","1","[{""added"": {}}]","11","1"
"12","2024-3-6 15:42:44.-1f+00","10","Lids object (10)","1","[{""added"": {}}]","11","1"
"13","2024-3-6 15:43:48.-1f+00","11","Lids object (11)","1","[{""added"": {}}]","11","1"
"14","2024-3-6 15:45:04.-1f+00","12","Lids object (12)","1","[{""added"": {}}]","11","1"
"15","2024-3-6 15:45:04.-1f+00","13","Lids object (13)","1","[{""added"": {}}]","11","1"
"16","2024-3-6 15:45:04.-1f+00","14","Lids object (14)","1","[{""added"": {}}]","11","1"
"17","2024-3-6 15:45:04.-1f+00","15","Lids object (15)","1","[{""added"": {}}]","11","1"
"18","2024-3-6 15:45:27.-1f+00","14","Lids object (14)","3","","11","1"
"19","2024-3-6 15:45:27.-1f+00","13","Lids object (13)","3","","11","1"
"20","2024-3-6 15:45:27.-1f+00","12","Lids object (12)","3","","11","1"
"21","2024-3-6 15:45:41.-1f+00","15","Lids object (15)","2","[{""changed"": {""fields"": [""Service""]}}]","11","1"
"22","2024-3-6 15:46:43.-1f+00","16","Lids object (16)","1","[{""added"": {}}]","11","1"
"23","2024-3-6 15:47:43.-1f+00","17","Lids object (17)","1","[{""added"": {}}]","11","1"
"24","2024-3-6 15:48:58.-1f+00","18","Lids object (18)","1","[{""added"": {}}]","11","1"
"25","2024-3-6 15:50:06.-1f+00","19","Lids object (19)","1","[{""added"": {}}]","11","1"
"26","2024-3-6 15:51:05.-1f+00","20","Lids object (20)","1","[{""added"": {}}]","11","1"
