"id","app_label","model"
"1","admin","logentry"
"2","auth","permission"
"3","auth","group"
"4","auth","user"
"5","commercial_offer","offer"
"6","contenttypes","contenttype"
"7","sessions","session"
"8","app_telegram","tguser"
"9","addprofit","customer_category"
"10","addprofit","addprofits"
"11","lids","lids"
"12","invoice","invoice"
"13","customer","customers"
"14","customer","private_person"
"15","make_contract_base","organization"
"16","make_contract_base","privatecontract"
"17","make_contract_base","contractbase"
"18","constants","constants"
